Component,Business Type,Business Sub Type,Producer/Sub Producer Name,Source Id,Account Policy Number,Group Number,Group/  Policy Name,Orignal Eff Date,Producer Eff Date,Cancel Date,Product Name,Funding Type,Calculation   Method,Number of Contracts,Split  %,Policy Mos,Paid From Date,Paid To Date,Compensated Premium,Override/ Commission Rate,Override/ Commission Amount,YTD Compensated Premium,YTD Override/ Commission,GA Name,Billing Mode
BONUS,GROUP,GROUP NEW BUSINESS,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,401782,0,CLEARVUE DENTISTRY PLLC DBA DEN,5/1/2025,5/1/2025, ,Non-HMO,PREM,New Bus Hth, ,100.00%,12,5/1/2025,5/1/2026,$0.00 ,$400.00 ,$400.00 ,$0.00 ,$400.00 , , 
CANCELLATIONS,GROUP,GROUP CANCELLATIONS,NA,Source ID: ,318950,318950,KWANGJAE YEO DDS PLLC,4/15/2021,4/15/2021,2/1/2026,Non-HMO, , , , , ,  , , , ,$0.00 ,$0.00 ,$0.00 , , 
CANCELLATIONS,GROUP,GROUP CANCELLATIONS,NA,Source ID: ,318950,348105,KWANGJAE YEO DDS PLLC,4/15/2021,4/15/2021,2/1/2026,HMO, , , , , ,  , , , ,$0.00 ,"$3,280.24 ",$104.56 , , 
CANCELLATIONS,GROUP,GROUP CANCELLATIONS,NA,Source ID: ,378080,378080,ARI COLLECTION INC,12/1/2023,12/1/2023,1/1/2026,Non-HMO, , , , , ,  , , , ,$0.00 ,$0.00 ,$0.00 , , 
CANCELLATIONS,GROUP,GROUP CANCELLATIONS,NA,Source ID: ,378080,378886,ARI COLLECTION INC,12/1/2023,12/1/2023,1/1/2026,HMO, , , , , ,  , , , ,$0.00 ,"$2,389.56 ",$101.56 , , 
CANCELLATIONS,GROUP,GROUP CANCELLATIONS,NA,Source ID: ,382070,382070,"KS PRODUCTS, INC",1/1/2024,1/1/2024,1/1/2026,Non-HMO, , , , , ,  , , , ,$0.00 ,$0.00 ,$0.00 , , 
CANCELLATIONS,GROUP,GROUP CANCELLATIONS,NA,Source ID: ,382070,383722,"KS PRODUCTS, INC",1/1/2024,1/1/2024,1/1/2026,HMO, , , , , ,  , , , ,$0.00 ,$868.50 ,$36.91 , , 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,273325,273325,LIVINGSTON MEDICAL PLLC,8/1/2019,3/1/2020, ,Non-HMO,PREM,% Premium,1,75.00%,82,5/1/2026,6/1/2026,"$1,942.81 ",4.25%,$61.93 ,"$11,622.03 ",$370.47 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,273325,273326,LIVINGSTON MEDICAL PLLC,8/1/2019,3/1/2020, ,HMO,PREM,% Premium,0,75.00%,82,5/1/2026,6/1/2026,$0.00 ,4.25%,$0.00 ,$0.00 ,$25.05 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,273325,342223,LIVINGSTON MEDICAL PLLC,8/1/2019,3/1/2020, ,Dental,PREM,% Premium,0,75.00%,82,5/1/2026,6/1/2026,$0.00 ,10.00%,$0.00 ,$0.00 ,$1.45 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,309439,443911,CLAYMARC SUH LLC,1/1/2021,1/1/2021, ,Non-HMO,PREM,% Premium,2,75.00%,65,5/1/2026,6/1/2026,"$3,879.38 ",4.25%,$123.66 ,"$19,396.90 ",$618.30 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,315603,315603,BAYLAB USA LLC,2/1/2021,2/1/2021, ,HMO,PREM,% Premium,5,100.00%,64,5/1/2026,6/1/2026,"$5,379.21 ",4.25%,$228.62 ,"$31,677.57 ","$1,346.31 ",AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,315603,343044,BAYLAB USA LLC,2/1/2021,2/1/2021, ,Non-HMO,PREM,% Premium,0,100.00%,64,5/1/2026,6/1/2026,$0.00 ,4.25%,$0.00 ,$0.00 ,$0.00 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,315603,343045,BAYLAB USA LLC,2/1/2021,2/1/2021, ,Dental,PREM,% Premium,0,100.00%,64,5/1/2026,6/1/2026,$0.00 ,10.00%,$0.00 ,$0.00 ,$0.00 ,AGILITY INSURAN, 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,364817,364817,FAMILY CENTER VITALEHEALTH PLLC,4/1/2023,4/1/2023, ,HMO,PREM,% Premium,10,100.00%,38,5/1/2026,6/1/2026,"$6,223.58 ",4.25%,$264.50 ,"$36,067.99 ","$1,532.90 ", , 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,364817,365196,FAMILY CENTER VITALEHEALTH PLLC,4/1/2023,4/1/2023, ,Dental,PREM,% Premium,10,100.00%,38,5/1/2026,6/1/2026,$521.15 ,10.00%,$52.12 ,"$3,318.42 ",$331.86 , , 
COMMISSIONS,GROUP,GROUP RETENTION,"010043991-PR-EVERGREEN F & I SERVICES, INC.",Source ID: ,394203,394203,AMBICENT MANAGEMENT LLC,8/1/2024,8/1/2024, ,HMO,PREM,% Premium,2,100.00%,22,5/1/2026,6/1/2026,"$1,649.98 ",4.25%,$70.12 ,"$9,899.88 ",$420.72 , , 
